Code;Libellé;Médiane du revenu disponible par UC 2017
242400935;CC du Pays de Saint-Aulaye;18270
242401024;CC Isle-Loue-Auvézère en Périgord;19230
242500320;CC de Montbenoît;25430
242500338;CC du Grand Pontarlier;24590
242500361;CU du Grand Besançon Métropole;21250
242504116;CC du Val de Morteau;30060
242504181;CC des Portes du Haut-Doubs;22600
242504355;CC du Plateau de Russey;28590
242504371;CC du Pays de Sancey-Belleherbe;20660
242504447;CC du Doubs Baumois;20860
242504488;CC Altitude 800;22500
242504496;CC du Plateau de Frasne et du Val de Drugeon (CFD);25210
242600252;CC du Val de Drôme en Biovallée;20820
242600492;CC Dieulefit-Bourdeaux;19760
242600534;CC du Diois;18650
242700276;CC du Pays de Conches;21060
242700607;CC du Pays du Neubourg;22240
242852465;CC du Bonnevalais;21050
242900074;CC du Pays d'Iroise;22570
242900314;Brest Métropole;21020
242900553;CC du Pays des Abers;21650
242900561;CC de Haute-Cornouaille;18960
242900629;CC Cap Sizun - Pointe du Raz;20060
242900645;CC Douarnenez Communauté;20240
242900660;CC du Pays Fouesnantais;23600
242900694;CA Quimperlé Communauté;20860
242900702;CC du Pays Bigouden Sud;21700
242900710;CC du Haut Pays Bigouden;20560
242900744;CC Poher communauté;19930
242900751;CC du Pays de Landivisiau;19960
242900769;CA Concarneau Cornouaille Agglomération;21110
242900793;CC Communauté Lesneven Côte des Légendes;20740
242900801;CC du Pays de Landerneau-Daoulas;22220
242900835;CA Morlaix Communauté;20590
243000270;CC du Pays Viganais;17470
243000296;CC du Pays de Sommières;20970
243000569;CC Rhony, Vistre, Vidourle;21870
243000585;CC Beaucaire Terre d'Argence;18320
243000593;CC de Petite Camargue;19870
243000643;CA de Nîmes Métropole;19020
243000650;CC Terre de Camargue;20470
243000684;CC du Pont du Gard;20370
243100518;Toulouse Métropole;22310
243100567;CC Lauragais Revel Sorezois;19590
243100633;CA du Sicoval;25860
243100732;CC des Coteaux du Girou;25880
243100773;CC de Val'Aïgo;21280
243100781;CC de la Save au Touch;24890
243100815;CC des Coteaux Bellevue;25930
243200391;CC de la Lomagne Gersoise;19440
243200409;CC du Bas Armagnac;19400
243200417;CC de la Tenarèze;18880
243200425;CC Cœur d'Astarac en Gascogne;18640
243200458;CC du Grand Armagnac;18700
243200508;CC Bastides et Vallons du Gers;18510
243200599;CC du Saves;21040
243200607;CC Artagnan de Fezensac;19030
243300316;Bordeaux Métropole;22060
243300563;CA Bassin d'Arcachon Sud-Pôle Atlantique (COBAS);22850
243300811;CC de l'Estuaire;18670
243301165;CC Jalle-Eau-Bourde;25860
243301181;CC Latitude Nord Gironde;19520
243301215;CC du Créonnais;22020
243301223;CC du Grand Cubzaguais;20790
243301249;CC du Secteur de Saint-Loubès;22820
243301264;CC de Montesquieu;24230
243301355;CC des Coteaux Bordelais;24780
243301371;CC du Pays Foyen;18100
243301389;CC Médullienne;22040
243301397;CC du Fronsadais;21550
243301405;CC du Val de l'Eyre;22090
243301439;CC des Portes de l'Entre-deux-Mers;24200
243301447;CC Médoc Estuaire;22960
243301454;CC Castillon/Pujols;19090
243301504;CA du Bassin d'Arcachon Nord;23110
243400017;Montpellier Méditerranée Métropole;20590
243400355;CC du Clermontais;18880
243400470;CA du Pays de l'Or;22200
243400488;CC La Domitienne;19660
243400520;CC du Pays de Lunel;19320
243400694;CC Vallée de l'Hérault;20380
243400736;CC des Cévennes Gangeoises et Suménoises;18230
243400769;CA de Béziers-Méditerranée;17450
243400819;CA Hérault-Méditerranée;18650
243500139;Rennes Métropole;22400
243500550;CC Montfort Communauté;21970
243500618;CC de Brocéliande;21420
243500634;CC Roche aux Fées Communauté;20480
243500659;CC Pays de Châteaugiron Communauté;23680
243500667;CC du Val d'Ille-Aubigné;22540
243500725;CC Côte d'Émeraude;22810
243500733;CC Bretagne Romantique;20570
243500741;CA Redon Agglomération;19580
243500774;CC Liffré-Cormier Communauté;22240
243500782;CA du Pays de Saint Malo Agglomération;21230
243600202;CC Chabris - Pays de Bazelle;19370
243600236;CC du Pays d'Issoudun;20010
243600293;CC de la Région de Levroux;19960
243600301;CC Val de l'Indre - Brenne;19770
243600319;CC Brenne - Val de Creuse;18970
243600327;CA Châteauroux Métropole;20240
243600343;CC Cœur de Brenne;18550
243600350;CC de la Châtre et Sainte-Sévère;19250
243700499;CC du Castelrenaudais;20480
243700754;Tours Métropole Val de Loire;21040
243700820;CC de Bléré Val de Cher;22020
243800604;CA Porte de l'Isère (C.A.P.I);20970
243800745;CC de l'Oisans;21550
243800935;CC Lyon Saint Exupéry en Dauphiné;21780
243800984;CA du Pays Voironnais;23150
243801024;CC du Massif du Vercors;23270
243801073;CC de Bièvre Est;22080
243801255;CC des Collines du Nord Dauphiné;24600
243900354;CC de la Station des Rousses-Haut Jura;32620
243900420;CC du Val d'Amour;20220
243900479;CC du Haut-Jura - ARCADE;23880
243900560;CC Jura Nord;21120
243900610;CC La Grandvallière;24050
243901089;CC de la Plaine Jurassienne;20100
244000543;CC de Mimizan;20410
244000659;CC du Seignanx;21860
244000675;CA du Grand Dax;20620
244000691;CC du Pays Morcenais;19750
244000766;CC du Pays Tarusate;20370
244000774;CC du Pays de Villeneuve en Armagnac Landais;19900
244000808;CA Mont-de-Marsan Agglomération;21080
244000824;CC du Pays Grenadois;20600
244000857;CC Côte Landes Nature;21140
244000865;CC Maremne Adour Côte Sud;21680
244000873;CC des Grands Lacs;21310
244000881;CC Coteaux et Vallées des Luys;20160
244100293;CC des Collines du Perche;19690
244100780;CC de la Sologne des Étangs;20220
244100798;CC du Grand Chambord;22510
244100806;CC de la Sologne des Rivières;20370
244200614;CC des Vals d'Aix et Isable;19470
244200622;CC des Monts du Pilat;21510
244200630;CC du Pays entre Loire et Rhône;20080
244200770;Saint-Etienne Métropole;19640
244200820;CC du Pays d'Urfé;18730
244200895;CC du Pilat Rhodanien;22420
244300307;CC du Pays de Montfaucon;20000
244301016;CC des Sucs;20110
244301099;CC Auzon Communauté;19630
244301107;CC du Haut-Lignon;19360
244301123;CC des Pays de Cayres et de Pradelles;18190
244301131;CC Loire et Semène;21630
244400404;Nantes Métropole;22710
244400438;CC de Grand Lieu;22080
244400453;CC de la Région de Blain;20700
244400503;CC d'Erdre et Gesvres;23230
244400537;CC de Nozay;19990
244400552;CC du Pays d'Ancenis;20690
244400586;CC du Sud-Estuaire;21500
244400610;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);22710
244400644;CA de la Région Nazairienne et de l'Estuaire (CARENE);20930
244500203;CA Montargoise et Rives du Loing (A.M.E.);19260
244500211;CC Giennoises;20120
244500419;CC des Quatre Vallées;21010
244500427;CC des Loges;22830
244500468;Orléans Métropole;21420
244500484;CC de la Forêt;23230
244500542;CC de la Plaine du Nord Loiret;21490
244600433;CC de la Vallée du Lot et du Vignoble;20000
244600482;CC Quercy - Bouriane;19570
244600532;CC du Pays de Lalbenque-Limogne;20450
244600573;CC du Causse de Labastide-Murat;19800
244700449;CC du Pays de Duras;18300
244700464;CC du Pays de Lauzun;17990
244701355;CC des Coteaux et Landes de Gascogne;19460
244701405;CC Lot et Tolzac;18990
244800405;CC Cœur de Lozère;21250
244800470;CC du Gévaudan;20340
244900015;CU Angers Loire Métropole;21220
244900809;CC Anjou Bleu Communauté;19360
244900882;CC Baugeois Vallée;19480
245100615;CC de la Grande Vallée de la Marne;24100
245100888;CC de la Brie Champenoise;20220
245100979;CC du Sud Marnais;20280
245200597;CC des Trois Forêts;19860
245300223;CC du Pays de Meslay-Grez;19780
245300355;CC de l'Ernée;19450
245300389;CC du Bocage Mayennais;18820
245300447;CC du Pays de Château-Gontier;20230
245400171;CC Moselle et Madon;22650
245400189;CC des Pays du Sel et du Vermois;21600
245400262;CA de Longwy;20860
245400510;CC du Pays de Colombey et du Sud Toulois;20570
245400601;CC du Bassin de Pompey;21710
245400676;Métropole du Grand Nancy;20920
245400759;CC du Pays du Sanon;20950
245500327;CC du Sammiellois;19460
245501176;CC du Territoire de Fresnes-en-Woëvre;20140
245501184;CC du Pays de Revigny-sur-Ornain;20120
245501242;CC du Pays d'Étain;19070
245501259;CC du Pays de Montmédy;20330
245600440;CC de Blavet Bellevue Océan;21890
245600465;CC de Belle-Île-en-Mer;21060
245614383;CC Questembert Communauté;20160
245614417;CC Roi Morvan Communauté;18650
245614433;CC Pontivy Communauté;20240
245700133;CC du District Urbain de Faulquemont (DUF);20870
245700372;CA de Forbach Porte de France;18940
245700398;CC de Freyming-Merlebach;17750
245700695;CC de Cattenom et Environs;29350
245700950;CC du Pays de Phalsbourg;21370
245701164;CC du Warndt;19310
245701206;CC du Saulnois;20130
245701222;CA du Val de Fensch;19330
245701271;CC du Pays Orne Moselle;20240
245701354;CC de l'Arc Mosellan;24170
245701362;CA Portes de France-Thionville;22790
245701404;CC du Pays Haut Val d'Alzette;22390
245801063;CC Loire et Allier;22350
245804406;CA de Nevers;20020
245804497;CC du Nivernais Bourbonnais;19190
245900410;Métropole Européenne de Lille;20140
245900428;CU de Dunkerque;18880
245900758;CC Flandre Lys;21190
245901038;CC du Pays Solesmois;19780
245901061;CC de la Haute-Deûle;21620
245901152;CC Cœur d'Ostrevent;18230
245901160;CA Valenciennes Métropole;17960
246000129;CC du Liancourtois;21650
246000376;CC du Clermontois;22170
246000566;CC du Plateau Picard;20670
246000582;CC des Sablons;21690
246000707;CC du Vexin-Thelle;23610
246000749;CC des Lisières de l'Oise;22100
246000756;CC du Pays Noyonnais;19030
246000764;CC de l'Aire Cantilienne;28530
246000772;CC des Deux Vallées;21560
246000848;CC de la Picardie Verte;19970
246000855;CC du Pays des Sources;22140
246000871;CC du Pays de Valois;23360
246000897;CC de la Plaine d'Estrées;23240
246000913;CC du Pays de Bray;21100
246000921;CC des Pays d'Oise et d'Halatte;22780
246100390;CC du Val d'Orne;19230
246100663;CU d'Alençon;20200
246200299;CA d'Hénin-Carvin;17540
246200364;CA de Lens - Liévin;17070
246200380;CC de la Terre des Deux Caps;19470
246200729;CA du Boulonnais;18100
246200844;CC de la Région d'Audruicq;20220
246201016;CC du Pays de Lumbres;19420
246300701;Clermont Auvergne Métropole;21540
246300966;CC du Massif du Sancy;19730
246301097;CC Entre Dore et Allier;21430
246400337;CC de la Vallée d'Ossau;20110
246401756;CC Pays de Nay;21670
246500482;CC de la Haute-Bigorre;20020
246500573;CC Aure-Louron;19880
246600282;CC Sud-Roussillon;20310
246600373;CC du Vallespir;19440
246600399;CC Pyrénées Cerdagne;19730
246600415;CC Roussillon-Conflent;18440
246600423;CC Agly Fenouillèdes;16410
246600449;CC des Aspres;19700
246600464;CC Pyrénées catalanes;19770
246600548;CC du Haut Vallespir;17750
246700306;CC de la Vallée de la Bruche;21080
246700488;Eurométropole de Strasbourg;20450
246700744;CC des Portes de Rosheim;25480
246700777;CC de la Vallée de Villé;22750
246700843;CC de la Basse-Zorn;24450
246700926;CC du Pays de Wissembourg;22610
246700959;CC du Pays de la Zorn;23960
246700967;CC de Sélestat;21950
246701064;CC de la Région de Molsheim-Mutzig;23640
246701080;CC du Pays de Sainte-Odile;23090
246701098;CC du Pays de Niederbronn-les-Bains;21850
246800205;CC de la Vallée de Saint-Amarin;21280
246800395;CC du Val d'Argent;19830
246800445;CC du Centre du Haut-Rhin;23400
246800494;CC du Pays de Rouffach, Vignobles et Châteaux;24850
246800551;CC de la Vallée de Kaysersberg;23160
246800569;CC de la Région de Guebwiller;22080
246800577;CC du Pays de Ribeauvillé;23440
246800585;CC de la Vallée de Munster;21520
246800676;CC de la Vallée de la Doller et du Soultzbach;23080
246800726;CA Colmar Agglomération;21550
246900575;CC de l'Est Lyonnais (CCEL);26510
246900625;CC du Pays de l'Arbresle (CCPA);24910
246900724;CC des Vallons du Lyonnais (CCVL);25610
246900740;CC du Pays Mornantais (COPAMO);25100
246900757;CC de la Vallée du Garon (CCVG);26750
246900765;CC du Pays de l'Ozon;26030
247000011;CA de Vesoul;20250
247000367;CC des Combes;20480
247000623;CC des Quatre Rivières;20020
247000664;CC du Pays de Lure;19990
247000698;CC des Monts de Gy;20140
247000706;CC du Pays Riolais;21740
247000714;CC du Pays de Villersexel;19760
247000722;CC du Pays d'Héricourt;21080
247000755;CC du Pays de Luxeuil;18740
247000821;CC Rahin et Chérimont;20510
247000854;CC des 1000 étangs;19440
247100290;CU Le Creusot Montceau-les-Mines;19590
247100589;CA Le Grand Chalon;20680
247100639;CC de Marcigny;19180
247100647;CC Bresse Nord Intercom;19260
247103765;CC Entre Saône et Grosne;21270
247103864;CC du Canton de Semur-en-Brionnais;20430
247104094;CC Sud Côte Chalonnaise;21970
247200090;CC de Sablé-sur-Sarthe;19850
247200132;CU Le Mans Métropole;20520
247200348;CC du Pays Fléchois;20040
247200421;CC du Sud Est du Pays Manceau;22490
247200447;CC Orée de Bercé - Belinois;21350
247200629;CC du Val de Sarthe;21710
247200686;CC du Pays de l'Huisne Sarthoise;20510
247300015;CC des Vallées d'Aigueblanche;22160
247300254;CC de Haute-Tarentaise;22340
247300262;CC de Yenne;22360
247300361;CC du Canton de la Chambre;22430
247300452;CC Maurienne Galibier;21960
247300528;CC Val Guiers;21420
247300668;CC du Lac d'Aiguebelette (CCLA);23970
247300676;CC Porte de Maurienne;21440
247300817;CC Les Versants d'Aime;22320
247400047;CC de la Vallée Verte;27850
247400112;CC du Pays de Cruseilles;34020
247400567;CC Fier et Usses;27000
247400583;CC Arve et Salève;32040
247400617;CC des Vallées de Thônes;23900
247400666;CC des Quatre Rivières;28830
247400682;CC du Haut-Chablais;23760
247400690;CC du Genevois;36630
247400724;CC du Pays Rochois;28340
247400740;CC Rumilly Terre de Savoie;23410
247400773;CC des Sources du Lac d'Annecy;22930
247600505;CC Campagne-de-Caux;22220
247600588;CC des Villes Sœurs;19410
247600604;CC de Londinières;18800
247600620;CC Yvetot Normandie;21220
247600646;CC Caux - Austreberthe;20640
247600729;CC Falaises du Talou;20410
247600786;CA de la Région Dieppoise;19350
247700032;CC Moret Seine et Loing;24120
247700057;CA Melun Val de Seine;20890
247700065;CC du Pays de l'Ourcq;22130
247700107;CC Pays de Montereau;18970
247700339;CA Val d'Europe Agglomération;25920
247700594;CA Marne et Gondoire;24890
247700644;CC l'Orée de la Brie;24820
247700701;CC Brie Nangissienne;21870
247800550;CC du Pays Houdanais (C.C.P.H.);26610
247800584;CA Versailles Grand Parc (C.A.V.G.P.);29780
247800618;CC Cœur d'Yvelines;29940
247900798;CC du Thouarsais;19210
248000499;CC du Val de Somme;21560
248000531;CA Amiens Métropole;19730
248000747;CC du Pays du Coquelicot;19960
248100158;CC du Sor et de l'Agout;20490
248100430;CA de Castres Mazamet;19200
248100497;CC Val 81;18650
248100737;CA de l'Albigeois (C2A);20790
248100745;CC Thoré Montagne Noire;18910
248200016;CC des Deux Rives;18950
248200057;CC du Quercy Caussadais;18930
248200065;CC de la Lomagne Tarn-et-Garonnaise;19170
248200099;CA Grand Montauban;20060
248200107;CC du Quercy Rouergue et des Gorges de l'Aveyron;17800
248300394;CA Sud Sainte-Baume;23790
248300410;CC de la Vallée du Gapeau;22420
248300493;CA Dracénie Provence Verdon Agglomération;20150
248300543;Métropole Toulon-Provence-Méditerranée;20640
248300550;CC Cœur du Var;20040
248400053;CA Ventoux-Comtat-Venaissin (COVE);19150
248400160;CC Aygues-Ouvèze en Provence (CCAOP);21410
248400236;CC du Pays Réuni d'Orange;19110
248400251;CA du Grand Avignon (COGA);19240
248400285;CC Territoriale Sud-Luberon;21910
248400293;CC des Sorgues du Comtat;19830
248400319;CC du Pays des Sorgues et des Monts de Vaucluse;21130
248400335;CC Vaison Ventoux;19920
248500191;CC de l'Île de Noirmoutier;21160
248500258;CC Océan Marais de Monts;20740
248500340;CC Pays de Chantonnay;20120
248500415;CC du Pays de la Châtaigneraie;19080
248500464;CC du Pays de Pouzauges;20000
248500530;CC du Pays des Achards;20360
248500563;CC Vendée, Sèvre, Autise;19940
248500589;CA La Roche-sur-Yon Agglomération;21140
248500621;CC du Pays des Herbiers;20720
248500662;CC du Pays de Mortagne;20950
248600413;CA Grand Châtellerault;20000
248600447;CC du Pays Loudunais;18590
248700189;CC du Pays de Saint-Yrieix;19470
248719262;CC Gartempe - Saint-Pardoux;18630
248719288;CC du Val de Vienne;21990
248719312;CU Limoges Métropole;20820
248719338;CC Briance-Combade;19050
248719353;CC des Portes de Vassivière;18500
248719361;CC de Noblat;20230
248900334;CA du Grand Sénonais;19850
248900383;CC de l'Agglomération Migennoise;18330
248900524;CC de l'Aillantais;21260
248900664;CC de la Vanne et du Pays d'Othe;20460
248900748;CC du Gâtinais en Bourgogne;21470
248900896;CC Yonne Nord;21190
248900938;CC du Jovinien;19300
249000241;CC du Sud Territoire;22410
249100074;CC du Pays de Limours (CCPL);28980
249100157;CC des Deux Vallées;25580
249100546;CC du Val d'Essonne (CCVE);25720
249100553;CC Entre Juine et Renarde (CCEJR);26610
249100595;CC Le Dourdannais en Hurepoix (CCDH);24580
249500109;CA de Cergy-Pontoise;21400
249500430;CC Sausseron Impressionnistes;27640
249500455;CC de la Vallée de l'Oise et des Trois Forêts;26240
249500489;CC du Haut Val d'Oise;21080
249500513;CC du Vexin-Val de Seine;23700
249710047;CC de Marie-Galante;N/A
249710062;CA du Nord Basse-Terre;N/A
249710070;CA Grand Sud Caraïbe;N/A
249720053;CA de l'Espace Sud de la Martinique;17820
249720061;CA du Centre de la Martinique;18620
249730037;CC de l'Ouest Guyanais;N/A
249730045;CA du Centre Littoral;N/A
249730052;CC de l'Est Guyanais;N/A
249740077;CA CIVIS (Communauté Intercommunale des VIlles Solidaires);14670
249740085;CA du Sud;14120
249740093;CA Intercommunale de la Réunion Est (CIREST);13350
249740101;CA Territoire de la Côte Ouest (TCO);15770
249740119;CA Intercommunale du Nord de la Réunion (CINOR);16530
